team_id,team,reference_team,tricode,flag,confederation,startDate,endDate,member,base,base_off,base_def,priority,points,points_off,points_def
380,Afghanistan,Afghanistan,AFG,afghanistan_16.png,AFC,1978-04-26,1978-10-17,1.0,4148.0,4538,4216,3.0,4289,4556,4439
380,Afghanistan,Afghanistan,AFG,afghanistan_16.png,AFC,1978-04-26,1978-10-17,1.0,4148.0,4538,4216,3.0,4289,4556,4439
380,Afghanistan,Afghanistan,AFG,afghanistan_16.png,AFC,1978-04-26,1978-10-17,1.0,4148.0,4538,4216,3.0,4289,4556,4439
380,Afghanistan,Afghanistan,AFG,afghanistan_16.png,AFC,1978-04-26,1978-10-17,1.0,4148.0,4538,4216,3.0,4289,4556,4439
380,Afghanistan,Afghanistan,AFG,afghanistan_16.png,AFC,1978-04-26,1978-10-17,1.0,4148.0,4538,4216,3.0,4289,4556,4439
380,Afghanistan,Afghanistan,AFG,afghanistan_16.png,AFC,1978-04-26,1978-10-17,1.0,4148.0,4538,4216,3.0,4289,4556,4439
380,Afghanistan,Afghanistan,AFG,afghanistan_16.png,AFC,1978-04-26,1978-10-17,1.0,4148.0,4538,4216,3.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
381,Afghanistan,Afghanistan,AFG,afghanistan_17.png,AFC,1978-10-18,1980-04-20,1.0,4148.0,4538,4216,4.0,4289,4556,4439
