date,home_team,away_team,tournament,country,neutral,home_points_before,away_points_before,expected_result,home_rank,away_rank,home_points_off_before,away_points_off_before,home_points_def_before,away_points_def_before,expected_score_1,expected_score_2,home_rank_off,away_rank_off,home_rank_def,away_rank_def
2026-06-01,Maldives,Afghanistan,Diamond Jubilee T,Maldives,False,4140.0,4288.0,-0.4127465290946684,190.0,177.0,4503.41754863414,4556.808259398767,4270.051282051282,4440.2792545674665,1.5810923183896173,1.4503613689518549,190.0,183.0,191.0,170.0
2026-06-01,Austria,Tunisia,Friendly,Austria,False,5369.0,5120.0,0.17686599170333292,20.0,58.0,5135.522087484398,4977.40623124516,4956.051282051282,4894.133187155891,2.110308754828919,0.0,21.0,64.0,21.0,43.0
2026-06-01,Bulgaria,Montenegro,Friendly,Bulgaria,False,4949.0,4907.0,-0.12960551705949483,81.0,86.0,4924.793668544161,4905.651014726267,4704.980087935442,4645.636769268263,2.2320183244399514,1.2314294740952698,77.0,85.0,117.0,135.0
2026-06-01,Canada,Uzbekistan,Friendly,Canada,False,5250.0,5121.0,-5.212728285231859e-05,30.0,56.5,4996.78203365919,4910.721313694908,4962.428571428572,4885.382766315711,1.7169979879591892,0.0,54.0,83.0,19.0,48.0
2026-06-01,Colombia,Costa Rica,Friendly,Colombia,False,5510.0,4970.0,0.587959112906596,10.0,76.0,5254.137186675728,4996.79571579775,5033.411881908778,4734.3444241281495,3.085775474609889,0.0,10.0,53.0,9.0,107.0
2026-06-01,Norway,Sweden,Friendly,Norway,False,5534.0,5252.0,0.22495798955883903,8.0,29.0,5265.988882611099,5157.942306308584,4953.669755319283,4798.4005935642,2.8890860400765686,1.240237345202023,8.0,20.0,24.0,78.0
2026-06-01,Slovakia,Malta,Friendly,Slovakia,False,5138.0,4689.0,0.46297802097877544,53.0,137.0,4979.7777814582005,4734.940031914002,4879.706413285501,4569.355088441783,2.6809875258183173,0.0,63.0,154.0,50.0,152.0
2026-06-01,Turkey,North Macedonia,Friendly,Turkey,False,5382.0,5027.0,0.3302096107232374,18.0,70.0,5175.307877058622,4913.0,4919.470055718792,4843.713010883385,2.4065407007932396,0.0,16.0,82.0,35.0,58.0
2026-06-02,Wales,Ghana,Friendly,Wales,False,5201.0,5045.0,0.039981831695070295,40.0,67.0,4980.5710444702,5006.897435897436,4832.102564102564,4832.93555883747,1.8226462460142825,1.1690531975272833,62.0,49.0,61.0,60.0
2026-06-02,Morocco,Madagascar,Friendly,Morocco,False,5308.0,4837.0,0.4935358154679256,25.0,102.5,5092.661556435826,4921.820841803025,4954.897181908457,4733.204698183182,2.501886450569956,0.0,29.0,80.0,23.0,108.0
2026-06-02,Haiti,New Zealand,Friendly,United States,True,4985.0,5105.0,-0.17888850315810628,73.0,60.0,4999.816327403819,5039.218343486068,4820.942548333138,4861.00384115214,1.418937015204885,1.634327910254994,52.0,45.0,69.0,54.0
2026-06-02,Brunei,East Timor,SE Asian Champ qual,Brunei,False,3648.0,3821.0,-0.4497454173285428,210.0,207.0,4212.936025674862,4412.948717948718,3937.1041303080656,4048.58245136586,1.8724296981941704,1.992634691199757,210.0,198.0,212.0,207.0
2026-06-02,Croatia,Belgium,Friendly,Croatia,False,5422.0,5460.0,-0.24904032517513125,15.0,11.0,5187.617693732778,5257.961342022136,4975.988907622726,4964.88346801316,2.051426616743306,1.4377334026499073,15.0,9.0,17.0,18.0
2026-06-02,Georgia,Romania,Friendly,Georgia,False,5172.0,5149.0,-0.15796589624389698,48.5,51.0,5042.901264759193,4987.713876569571,4817.812400948583,4794.989741655629,2.131089481499226,1.157435873957562,43.0,56.0,72.0,85.0
2026-06-03,Panama,Dominican Republic,Friendly,Panama,False,5094.0,4734.0,0.33735498921602713,62.0,131.0,5038.485346617866,4815.290381208991,4827.06291901547,4602.868458587553,2.7717623704513827,0.0,46.0,123.0,65.0,146.0
2026-06-03,Poland,Nigeria,Friendly,Poland,False,5206.0,5236.0,-0.2370994228341114,38.0,32.0,5047.8607576294135,5118.112891746249,4818.910540308807,4902.647567164148,1.8154875931093089,1.4834620436155148,40.0,24.0,70.0,40.0
2026-06-03,Philippines,Guam,Friendly tournament,Philippines,False,4503.0,3752.0,0.8614232666670272,164.0,208.0,4711.948717948718,4172.078600478143,4472.482628802298,3990.142072645609,3.9065628314227623,0.0,163.0,214.0,165.0,210.0
2026-06-03,Netherlands,Algeria,Friendly,Netherlands,False,5538.0,5231.0,0.26118944925595133,7.0,34.0,5308.407899521982,5158.648430253192,4957.282140629241,4892.152154157514,2.701872342237149,1.233127607938789,2.0,19.0,20.0,45.0
2026-06-03,Albania,Israel,Friendly,Albania,False,5141.0,5126.0,-0.16991008351224954,52.0,54.0,4928.920758086064,5116.545992706753,4931.775132298557,4772.562626904567,1.848538732932592,1.192912999899181,74.0,25.0,31.0,93.0
2026-06-03,Gibraltar,British Virgin Islands,Friendly,Gibraltar,False,4445.0,3936.0,0.5458114419181388,168.0,205.0,4584.853595079771,4372.828374471045,4441.045191391133,4224.320741908027,2.5056049667863243,0.0,176.0,203.0,169.0,198.0
2026-06-03,El Salvador,South Korea,Friendly,United States,True,4673.0,5197.0,-0.7585705633623724,145.0,41.0,4711.695874131029,5057.752823571556,4711.843607298323,4893.846401894797,0.0,2.0114189211806313,164.0,37.0,115.0,44.0
2026-06-03,Denmark,DR Congo,Friendly,Belgium,True,5423.0,5099.0,0.4780269423012572,14.0,61.0,5223.231504728055,4925.325226655104,4948.975687742103,4955.521704722478,1.7758336828968244,0.0,12.0,76.0,26.0,22.0
2026-06-03,Luxembourg,Italy,Friendly,Luxembourg,False,4931.0,5379.0,-0.8461994857296984,84.0,19.0,4821.644911558217,5160.18204684544,4776.059968085998,4924.318434043129,1.1560745125645335,1.719075169830116,122.0,18.0,90.0,34.0
2026-06-04,Iran,Mali,Friendly,Turkey,True,5232.0,5124.0,0.1610503609248298,33.0,55.0,5111.25190008238,4916.956264366089,4912.308984490444,4976.178461452185,1.409169378411488,1.0891699189231856,27.0,81.0,37.0,16.0
2026-06-04,Sweden,Greece,Friendly,Sweden,False,5252.0,5300.0,-0.26396285953767407,29.0,26.0,5157.942306308584,5105.929529291775,4798.4005935642,4940.638292021662,2.034439929712344,1.505812297900819,20.0,28.0,78.0,29.0
2026-06-04,Slovenia,Cyprus,Friendly,Slovenia,False,5181.0,4797.0,0.37152891951613964,45.0,117.0,4945.363230731737,4877.291493433207,4982.113254843018,4580.181949074781,2.521700491164663,0.0,70.0,95.0,13.0,149.0
2026-06-04,Mexico,Serbia,Friendly,Mexico,False,5314.0,5188.0,-0.00450666038356532,24.0,44.0,5006.159497141567,5001.255279028945,5055.213685533656,4902.946559704801,1.6935583589554437,0.0,50.0,51.0,7.0,39.0
2026-06-04,Kenya,Lesotho,Friendly,South Africa,True,4811.0,4579.0,0.344290606969718,114.5,157.0,4876.604863971579,4735.524582254376,4696.37330256233,4692.051282051282,1.5411013454654499,1.1699015592329154,97.0,153.0,122.0,124.0
2026-06-04,Guinea,Northern Ireland,Friendly,Spain,True,4966.0,5121.0,-0.23080873553002454,78.0,56.5,4921.887739373051,4990.948717948718,4860.358995448337,4901.239225135459,1.1262576914535156,1.397499997746423,79.0,55.0,55.0,41.0
2026-06-04,Spain,Iraq,Friendly,Spain,False,5703.0,4963.0,0.847791804901439,1.0,79.0,5396.151252082147,4838.853692746152,5058.0,4822.746051462927,3.2943686671191306,0.0,1.0,110.0,6.0,67.0
2026-06-04,Czechia,Guatemala,Friendly,United States,True,5223.0,4899.0,0.4780269423012572,36.0,89.0,5062.051967633924,4927.954417745474,4847.626452594697,4732.355506313972,1.9613955791360573,1.2699428494708622,34.0,75.0,57.0,109.0
2026-06-04,Cambodia,Bhutan,Friendly,Cambodia,False,4170.0,3710.0,0.4782830348252497,186.0,209.0,4537.0,4315.895869691934,4259.0,3926.0639743251377,3.4443663706582766,0.0,187.0,206.0,193.0,213.0
2026-06-04,Burundi,Equatorial Guinea,Friendly,Morocco,True,4820.0,4826.0,-0.008959238817138799,111.5,106.0,4844.063611771229,4799.206002024414,4729.269040162342,4784.632972269639,1.2186691252356059,1.244318094936654,105.0,128.0,110.0,88.0
2026-06-04,Andorra,Liechtenstein,Friendly,Andorra,False,4683.0,4336.0,0.31875904355425644,140.5,173.0,4563.425671602562,4546.906124630514,4687.277213441739,4345.662931127416,2.035872233231179,0.0,180.0,186.0,125.0,180.0
2026-06-04,Lebanon,Yemen,Asian Cup qualifier,Qatar,True,4680.0,4581.0,0.1476611684838297,143.0,155.5,4759.0,4792.0,4799.0,4497.0,1.7591953910406588,0.0,141.0,131.0,77.0,163.0
